N,P,K,temperature,humidity,ph,rainfall,label
84.97,46.89,43.89,27.51,81.13,6.31,283.38,rice
87.67,44.24,43.26,22.54,79.97,6.5,178.6,rice
62.75,43.5,33.92,24.49,77.76,5.84,279.97,rice
77.74,48.54,31.45,22.34,82.85,5.94,247.27,rice
73.99,45.67,36.39,28.33,82.23,5.98,260.68,rice
67.79,49.67,28.24,20.38,83.28,6.7,241.14,rice
78.84,45.59,31.13,21.9,80.0,6.82,246.31,rice
62.37,50.59,37.69,22.01,85.36,6.81,263.94,rice
71.61,45.53,41.99,26.14,79.9,6.33,202.81,rice
68.04,54.5,48.14,23.52,87.32,6.54,216.65,rice
83.61,60.3,39.79,27.61,69.2,6.73,238.61,rice
77.01,48.73,28.07,23.15,84.09,6.99,220.45,rice
71.92,43.99,45.49,24.52,79.65,6.61,238.91,rice
89.69,42.38,38.03,22.72,74.98,6.52,243.83,rice
80.05,46.12,31.51,22.65,80.59,6.08,231.16,rice
84.04,63.09,41.05,24.34,81.93,5.63,235.2,rice
80.6,67.71,38.85,24.45,82.13,5.93,270.28,rice
87.52,54.33,34.54,27.21,75.29,6.63,301.71,rice
70.09,43.47,40.6,22.44,74.55,6.43,204.13,rice
84.74,40.64,49.3,21.74,80.69,6.73,199.07,rice
82.27,58.46,30.36,24.16,83.6,6.71,198.89,rice
66.8,52.18,41.78,24.33,84.03,6.13,242.97,rice
82.93,42.29,51.19,24.88,76.34,6.66,206.76,rice
87.87,57.27,35.08,26.11,84.36,6.73,292.9,rice
77.55,41.97,34.66,21.66,81.91,6.54,244.3,rice
88.27,48.1,48.72,23.04,95.9,6.65,210.29,rice
69.29,51.86,38.66,25.49,84.67,6.37,210.6,rice
64.85,44.43,45.14,24.24,76.07,6.47,247.56,rice
71.16,49.23,40.35,20.84,84.09,6.62,268.49,rice
90.54,36.98,34.37,24.99,84.87,6.61,320.0,rice
85.71,57.08,45.72,25.33,80.72,6.7,212.82,rice
77.63,44.12,40.49,29.49,72.96,6.67,187.62,rice
75.28,56.71,40.39,21.01,78.72,6.67,214.09,rice
82.16,48.36,36.09,29.06,85.47,5.59,241.59,rice
73.38,54.82,35.24,23.41,84.82,6.75,199.99,rice
76.65,44.2,36.08,28.11,84.32,5.9,263.54,rice
101.22,56.26,30.88,22.49,88.63,6.12,249.31,rice
87.75,40.58,39.64,15.6,77.18,6.3,198.57,rice
96.32,36.56,37.36,24.03,89.51,5.83,270.89,rice
80.1,40.15,42.77,24.2,79.3,6.43,224.44,rice
81.14,53.3,49.52,20.61,92.97,5.62,231.45,rice
85.88,50.25,36.26,23.18,79.83,6.16,261.49,rice
83.57,42.46,45.4,24.47,86.36,6.65,211.13,rice
74.4,53.98,43.66,23.65,82.89,6.91,218.25,rice
85.47,46.38,38.69,26.45,86.43,6.73,275.16,rice
80.21,53.46,38.14,24.51,81.65,6.44,253.85,rice
71.82,64.74,33.96,20.66,88.09,6.72,254.72,rice
86.28,47.9,34.62,23.89,78.91,6.79,231.59,rice
71.75,45.43,42.48,22.29,78.19,6.5,243.35,rice
74.93,44.23,41.39,20.08,75.26,6.11,229.6,rice
83.11,59.8,45.15,23.3,82.2,6.0,235.44,rice
77.11,50.58,35.04,25.0,89.96,6.36,248.05,rice
86.9,44.79,41.34,23.73,82.79,6.09,236.74,rice
84.98,59.61,45.76,29.08,78.46,6.75,241.5,rice
101.9,41.53,34.96,22.2,71.68,6.19,213.23,rice
